Feature.ID	Kingdom	Phylum	Class	Order	Family	Genus	Specie
2da3a0088c79be93d886fe4bbff720f7	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Vibrisseaceae	g__Phialocephala	s__unidentified
24c9519e5a7ea83a33cc0e0197e73716	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae		
29b235eff63b4ac7d2130f01d1ea2ab3	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Vibrisseaceae	g__Phialocephala	s__unidentified
d68cd4401e75be39eced1c0a89a8dae7	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
ad7bc19e0bd0369c97380e57932d72f5	k__Fungi	p__Ascomycota					
cb4d26a4824ca2fdd721dd04a37a70a7	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Vibrisseaceae	g__Phialocephala	s__unidentified
4cf7636fe073b166508f6e21a8e6900d	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Vibrisseaceae	g__Phialocephala	s__unidentified
bb08e3dcce79f57fd316900d8b94cdb2	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
acee7e9265b091932d5077fd11bd721d	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
8bb5df446b9d47d41b0ad762c1214c5c	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
0a348d46a29e224705c6bd6b852f5b89	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
86f657662422fa5b6f52fd8e9d6f5ab3	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__Russula_decolorans
0848a4ac1454b372a2b959b83bf6985c	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae		
2e009f24cabbce67d7795a95f3896569	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Vibrisseaceae	g__Phialocephala	s__unidentified
4532c5215afbd44d1d4bcd0c6dc95bfb	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
7882a32c1f05fb148ce5479cf3003af5	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
f79a155e940f0b9239d119bf49a3c44e	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
f7ef99e315ad48589ae3982de4d9e234	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
89910f903122d90b9931bc1955b19a29	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
98d107aa9b20b37d08ea17e9ed96ee96	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__unidentified	g__unidentified	s__unidentified
3c8b443ffd20100819c78d5ac3b62f4b	k__Fungi	p__Ascomycota	c__Pezizomycetes	o__Pezizales	f__Pyronemataceae		
319ea8d7bd560779401125659b3d82b3	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__unidentified	g__unidentified	s__unidentified
7a47c5ba1a5bcf4cb41c5576c3ed802b	k__Fungi	p__Ascomycota					
93ad3be412689b4972fed6e1497bb2d0	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
66c2044855ec69d72853434ce6874d23	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
585ef6de6cd2376fa34d63016a3214d7	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
b7c836e167ef8d5269fdfa9956a862be	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
12017f72d0c703bdc92637d678f0ff56	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
9693445dc740c6372da2cecfa25f0de5	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
0dc295790be84f3d30e83e7e94e54d72	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__Russula_decolorans
c5e23c53b8b1ecfd185c1daaae748b1d	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
03a6b6ec6892460ae37e18291f25f97d	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Russulaceae	g__Russula	s__Russula_decolorans
b8bcee9910148d982fd9740e77dd774c	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
4a80ff64b77922a64e1eb0b0f34f31ba	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales			
42d68bd21ad590e6a5e508e1c797f9df	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Lecanorales	f__unidentified	g__unidentified	s__unidentified
c063ca94266a6d52817c3544c119c651	k__Fungi						
ae63adc197f534799fb60fc6f231631e	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Leotiaceae	g__Pezoloma	s__Pezoloma_ericae
eb71b4ee0e4edf49c0d2f855dcdd4584	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Vibrisseaceae	g__Phialocephala	s__unidentified
